exercise_slug,muscle
Bent_Over_One-Arm_Long_Bar_Row,biceps
Bent_Over_One-Arm_Long_Bar_Row,lats
Bent_Over_One-Arm_Long_Bar_Row,lower back
Bent_Over_One-Arm_Long_Bar_Row,traps
Bent_Over_Two-Arm_Long_Bar_Row,biceps
Bent_Over_Two-Arm_Long_Bar_Row,lats
Bent_Over_Two-Dumbbell_Row,biceps
Bent_Over_Two-Dumbbell_Row,lats
Bent_Over_Two-Dumbbell_Row,shoulders
Bent_Over_Two-Dumbbell_Row_With_Palms_In,biceps
Bent_Over_Two-Dumbbell_Row_With_Palms_In,lats
Bent_Press,glutes
Bent_Press,hamstrings
Bent_Press,lower back
Bent_Press,quadriceps
Bent_Press,shoulders
Bent_Press,triceps
Bicycling,calves
Bicycling,glutes
Bicycling,hamstrings
Bicycling_Stationary,calves
Bicycling_Stationary,glutes
Bicycling_Stationary,hamstrings
Board_Press,chest
Board_Press,forearms
Board_Press,lats
Board_Press,shoulders
Body-Up,abdominals
Body-Up,forearms
Bodyweight_Flyes,abdominals
Bodyweight_Flyes,shoulders
Bodyweight_Flyes,triceps
Bodyweight_Mid_Row,biceps
Bodyweight_Mid_Row,lats
Bodyweight_Squat,glutes
Bodyweight_Squat,hamstrings
Bodyweight_Walking_Lunge,calves
Bodyweight_Walking_Lunge,glutes
Bodyweight_Walking_Lunge,hamstrings
Bottoms-Up_Clean_From_The_Hang_Position,biceps
Bottoms-Up_Clean_From_The_Hang_Position,shoulders
Box_Jump_Multiple_Response,abductors
Box_Jump_Multiple_Response,adductors
Box_Jump_Multiple_Response,calves
Box_Jump_Multiple_Response,glutes
Box_Jump_Multiple_Response,quadriceps
Box_Skip,abductors
Box_Skip,adductors
Box_Skip,calves
Box_Skip,glutes
Box_Skip,quadriceps
Box_Squat,adductors
Box_Squat,calves
Box_Squat,glutes
Box_Squat,hamstrings
Box_Squat,lower back
Box_Squat_with_Bands,abductors
Box_Squat_with_Bands,adductors
Box_Squat_with_Bands,calves
Box_Squat_with_Bands,glutes
Box_Squat_with_Bands,hamstrings
Box_Squat_with_Bands,lower back
Box_Squat_with_Chains,abductors
Box_Squat_with_Chains,adductors
Box_Squat_with_Chains,calves
Box_Squat_with_Chains,glutes
Box_Squat_with_Chains,hamstrings
Box_Squat_with_Chains,lower back
Bradford_Rocky_Presses,triceps
Butt_Lift_Bridge,hamstrings
Cable_Chest_Press,shoulders
Cable_Chest_Press,triceps
Cable_Crossover,shoulders
Cable_Deadlifts,forearms
Cable_Deadlifts,glutes
Cable_Deadlifts,hamstrings
Cable_Deadlifts,lower back
Cable_Preacher_Curl,forearms
Cable_Rope_Rear-Delt_Rows,biceps
Cable_Rope_Rear-Delt_Rows,middle back
Cable_Seated_Lateral_Raise,middle back
Cable_Seated_Lateral_Raise,traps
Cable_Shoulder_Press,triceps
Car_Deadlift,forearms
Car_Deadlift,glutes
Car_Deadlift,hamstrings
Car_Deadlift,lower back
Car_Deadlift,traps
Car_Drivers,forearms
Carioca_Quick_Step,abdominals
Carioca_Quick_Step,abductors
Carioca_Quick_Step,calves
Carioca_Quick_Step,glutes
Carioca_Quick_Step,hamstrings
Carioca_Quick_Step,quadriceps
Cat_Stretch,middle back
Cat_Stretch,traps
Catch_and_Overhead_Throw,abdominals
Catch_and_Overhead_Throw,chest
Catch_and_Overhead_Throw,shoulders
Chain_Press,shoulders
Chain_Press,triceps
Chair_Leg_Extended_Stretch,adductors
